Country Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Algeria,26.0,27.0,28.0,31.0,30.0,32.0,28.0,29.0,29.0,34.0,36.0,36.0,36.0,34.0,33.0,35.0,34.0,34.0
Bahrain,61.0,58.0,58.0,57.0,50.0,54.0,51.0,49.0,51.0,51.0,48.0,49.0,51.0,43.0,43.0,36.0,43.0,43.0
Egypt,33.0,32.0,34.0,33.0,29.0,28.0,28.0,31.0,29.0,32.0,32.0,37.0,36.0,34.0,32.0,35.0,34.0,34.0
"Iran, Islamic Rep.",30.0,29.0,29.0,27.0,25.0,23.0,18.0,22.0,27.0,28.0,25.0,27.0,27.0,29.0,29.0,28.0,29.0,29.0
Iraq,22.0,21.0,22.0,19.0,15.0,13.0,15.0,15.0,18.0,18.0,16.0,16.0,16.0,17.0,17.0,18.0,17.0,17.0
Israel,70.0,64.0,63.0,59.0,61.0,60.0,61.0,61.0,58.0,60.0,61.0,60.0,61.0,64.0,62.0,61.0,64.0,64.0
Jordan,46.0,53.0,57.0,53.0,47.0,51.0,50.0,47.0,45.0,48.0,45.0,49.0,53.0,48.0,48.0,49.0,48.0,48.0
Kuwait,53.0,46.0,47.0,48.0,43.0,43.0,41.0,45.0,46.0,44.0,43.0,44.0,49.0,41.0,39.0,41.0,41.0,41.0
Lebanon,30.0,27.0,31.0,36.0,30.0,30.0,25.0,25.0,25.0,30.0,28.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0
Libya,21.0,25.0,25.0,27.0,25.0,26.0,25.0,22.0,20.0,21.0,15.0,18.0,16.0,14.0,14.0,17.0,14.0,14.0
Morocco,33.0,32.0,32.0,32.0,35.0,35.0,33.0,34.0,34.0,37.0,37.0,39.0,36.0,37.0,37.0,37.0,37.0,37.0
Oman,63.0,61.0,63.0,54.0,47.0,55.0,55.0,53.0,48.0,47.0,47.0,45.0,45.0,45.0,45.0,52.0,45.0,45.0
Qatar,56.0,52.0,59.0,60.0,60.0,65.0,70.0,77.0,72.0,68.0,68.0,69.0,71.0,61.0,63.0,62.0,61.0,61.0
Saudi Arabia,45.0,34.0,34.0,33.0,34.0,35.0,43.0,47.0,44.0,44.0,46.0,49.0,52.0,46.0,46.0,49.0,46.0,46.0
Syrian Arab Republic,34.0,34.0,34.0,29.0,24.0,21.0,26.0,25.0,26.0,26.0,17.0,20.0,18.0,13.0,13.0,13.0,13.0,13.0
Tunisia,49.0,50.0,49.0,46.0,42.0,44.0,42.0,43.0,38.0,41.0,41.0,40.0,38.0,41.0,42.0,43.0,41.0,41.0
United Arab Emirates,52.0,61.0,62.0,62.0,57.0,59.0,65.0,63.0,68.0,68.0,69.0,70.0,70.0,66.0,71.0,70.0,66.0,66.0
"Yemen, Rep.",26.0,24.0,27.0,26.0,25.0,23.0,21.0,22.0,21.0,23.0,18.0,19.0,18.0,14.0,14.0,14.0,14.0,14.0
